        0:0         TID   1 CPU  30(2) created
        0:0         TID   1 CPU  30(2) created
        0:0         TID   1 CPU  30(2) created
        0:0         TID   1 CPU  30(2) created
        0:0         TID   1 CPU  30(2) created
        0:0         TID   1 CPU  30(2) created
fiosExecucao =2 Intervalo=99
: tempo -> 53208.2 usecs
        0:0         TID   2 CPU  20(1) created
        0:1465569350510 TID   2 sleeping on 'cond var'
        0:0         TID   2 CPU  20(1) created
       49:1465569350559 TID   2 sleeping on 'cond var'
       49:1465569350559 TID   2 CPU  20(1) preempted
       59:1465569350569 TID   2 CPU  20(1) restarted on the same CPU
       59:1465569350569 TID   2 sleeping on 'cond var'
       59:1465569350569 TID   2 CPU  20(1) preempted
       59:1465569350569 TID   2 CPU  20(1) restarted on the same CPU
        0:1465569350510 TID   1 sleeping on 'cond var'
        0:0         TID   1 CPU  30(2) created
       59:1465569350569 TID   1 sleeping on 'cond var'
       59:1465569350569 TID   1 CPU  30(2) preempted
       59:1465569350569 TID   1 CPU  30(2) restarted on the same CPU
       59:1465569350569 TID   1 sleeping on 'cond var'
       59:1465569350569 TID   1 CPU  30(2) preempted
       59:1465569350569 TID   1 CPU  30(2) restarted on the same CPU
       59:1465569350569 TID   1 sleeping on 'cond var'
       59:1465569350569 TID   1 CPU  30(2) preempted
       59:1465569350569 TID   1 CPU  30(2) restarted on the same CPU
       59:1465569350569 TID   1 sleeping on 'shuttle'
       59:1465569350569 TID   1 CPU  30(2) preempted
       59:1465569350569 TID   1 CPU  30(2) restarted on the same CPU
       59:1465569350569 TID   1 sleeping on 'shuttle'
       59:1465569350569 TID   1 CPU  30(2) preempted
       59:1465569350569 TID   1 CPU  30(2) restarted on the same CPU
       59:1465569350569 TID   1 sleeping on 'cond var'
       59:1465569350569 TID   1 CPU  30(2) preempted
       59:1465569350569 TID   1 CPU  30(2) restarted on the same CPU

